rentalZoneID:ID(RENTAL-ZONE-ID)|name|code|type|city|latitude:float|longtitude:float|poiAirport|poiLongDistanceTrains|poiSuburbanTrains|poiUnderground|:LABEL
38|Paul-Lincke-Ufer|PLU|parkingarea|Berlin|52,491966685810670||Nein|Nein|Nein|Nein|STATION;PARKINGAREA;INACTIVE
79|Ostbahnhof|OST|stationbased|Berlin|52,509446616791216||Nein|Ja|Nein|Nein|STATION;STATIONBASED;ACTIVE
136|Hbf Rostock|Hbf Rostock|stationbased|Rostock|54,077917752559770||Nein|Ja|Ja|Nein|STATION;STATIONBASED;ACTIVE
138|Hbf Schwerin|Hbf Schwerin|parkingarea|Schwerin|53,633873801997470||Nein|Ja|Nein|Nein|STATION;PARKINGAREA;ACTIVE
171|Hbf Aschaffenburg|Hbf Aschaffenburg|stationbased|Aschaffenburg|49,981667892009890||Nein|Ja|Nein|Nein|STATION;STATIONBASED;ACTIVE
511|Katharinen|KA|stationbased|Braunschweig|52,267117500000000||Nein|Nein|Nein|Nein|STATION;STATIONBASED;INACTIVE
522|Plärrer|PL|stationbased|Nürnberg|49,449186500000000||Nein|Nein|Nein|Nein|STATION;STATIONBASED;INACTIVE
560|Hbf Duisburg|Hbf Duisburg|stationbased|Duisburg|51,428315297838650||Nein|Ja|Nein|Nein|STATION;STATIONBASED;ACTIVE
570|Hbf Oberhausen|Hbf Oberhausen|stationbased|Oberhausen|51,474186700000000||Nein|Ja|Ja|Nein|STATION;STATIONBASED;ACTIVE
812|ERMAFA|ER|stationbased|Chemnitz|50,834236000000000||Nein|Nein|Nein|Nein|STATION;STATIONBASED;INACTIVE
1110|Bhf. Zoologischer Garten|ZOO|stationbased|Berlin|52,507704731952850||Nein|Nein|Ja|Ja|STATION;STATIONBASED;ACTIVE
1182|Maxfeldstraße|MF|stationbased|Nürnberg|49,461425300000000||Nein|Nein|Nein|Nein|STATION;STATIONBASED;INACTIVE
1183|Hbf Freiburg|Hbf Freiburg|stationbased|Freiburg|47,997146000000000||Nein|Ja|Nein|Nein|STATION;STATIONBASED;ACTIVE
2540|Bahnhof|HB|stationbased|Regensburg|49,010011000000000||Nein|Ja|Nein|Nein|STATION;STATIONBASED;INACTIVE
32917|Hauptbahnhof 1 (Raschplatz)|HBF1|stationbased|Hannover|52,378294000000000||Nein|Ja|Nein|Nein|STATION;STATIONBASED;INACTIVE
32931|Hbf Stuttgart|Hbf Stuttgart|stationbased|Stuttgart|48,786424413245550||Nein|Ja|Ja|Ja|STATION;STATIONBASED;ACTIVE
32937|Hbf Osnabrück|Hbf Osnabrück|stationbased|Osnabrück|52,274217091579480||Nein|Ja|Nein|Nein|STATION;STATIONBASED;ACTIVE
32949|Augsburg - Bahnhof|AB|stationbased|Augsburg|48,364752800000000||Nein|Ja|Nein|Nein|STATION;STATIONBASED;INACTIVE
32963|Hbf Wuppertal|Hbf Wuppertal|stationbased|Wuppertal|51,255674054453420||Nein|Ja|Nein|Nein|STATION;STATIONBASED;ACTIVE
32981|Hauptbahnhof / Radstation|HBF 3|stationbased|Köln|50,942434725473774||Nein|Ja|Ja|Ja|STATION;STATIONBASED;INACTIVE
32982|Bf. Köln Messe/Deutz|DE alt|stationbased|Köln|50,940401700000000||Nein|Ja|Ja|Nein|STATION;STATIONBASED;INACTIVE
32985|Hbf Heidelberg|Hbf Heidelberg|stationbased|Heidelberg|49,405030441362670||Nein|Ja|Nein|Nein|STATION;STATIONBASED;ACTIVE
32986|Hbf 1 Mannheim|Hbf 1 Mannheim|stationbased|Mannheim|49,478915887841870||Nein|Ja|Nein|Nein|STATION;STATIONBASED;ACTIVE
32987|Hbf 1 Karlsruhe (Hauptausgang)|Hbf 1 Karlsruhe (Hauptausgang)|stationbased|Karlsruhe|48,993714679432800||Nein|Ja|Ja|Nein|STATION;STATIONBASED;ACTIVE
33013|Polizeipräsidium|PP|stationbased|Düsseldorf|51,214313900000010||Nein|Nein|Nein|Nein|STATION;STATIONBASED;INACTIVE
33050|Hbf Essen|Hbf Essen|stationbased|Essen|51,450790200000000||Nein|Ja|Nein|Nein|STATION;STATIONBASED;ACTIVE
33052|Hbf 3 Karlsruhe (Schwarzwaldstr.)|Hbf 3 Karlsruhe (Schwarzwaldstr.|stationbased|Karlsruhe|48,991138985305234||Nein|Ja|Nein|Nein|STATION;STATIONBASED;ACTIVE
33053|Lia-Wöhr-Platz/Frankenallee|LIA|stationbased|Frankfurt am Main|50,107663517085730||Nein|Nein|Nein|Nein|STATION;STATIONBASED;INACTIVE
400186|Winterstraße|ALT|stationbased|Hamburg|53,550363843549190||Nein|Ja|Nein|Nein|STATION;STATIONBASED;INACTIVE
400201|Martinsried|MA|stationbased|München (DB-intern)|||Nein|Nein|Nein|Nein|STATION;STATIONBASED;INACTIVE
400205|Haar|HA|stationbased|München (DB-intern)|48,100517000000000||Nein|Nein|Nein|Nein|STATION;STATIONBASED;INACTIVE
