vehicleID:ID(VEHICLE-ID)|modelName|modelDetails|vin|registrationPlate|kw:long|fuelType|ownershipType|company|companyGroup|:LABEL
143031|Transit|2,2 Diesel 63kW !! kein Radio !!|WF0XXXBDFX8R74238|F-R 8018|63|Diesel|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;FORD;DIESEL
146501|E-Smart|E-Smart 30 kW|WME4513911K386156|B-SB 4460|30|Strom|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;MCC;STROM
147314|Focus|1,6 Diesel 80kW NAVI|WF0SXXGCDSAA82712|F-R 8794|80|Diesel|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;FORD;DIESEL
147382|Astra|1,7 Diesel 81kW NAVI|W0L0AHL35B2057645|F-R 8829|81|Diesel|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;OPEL;DIESEL
147392|E-Smart|E-Smart 30 kW|WME4513911K448772|HH-EM 3019|30|Strom|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;MCC;STROM
147388|E-Smart|E-Smart 30 kW|WME4513911K451623|HH-EM 3017|30|Strom|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;MCC;STROM
147983|Fiesta|1,6 Diesel 70kW NAVI |WF0JXXGAJJBD83978|F-R 8719|70|Diesel|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;FORD;DIESEL
147310|Focus|1,6 Diesel 80kW NAVI|WF0SXXGCDSAA82693|F-R 8758|80|Diesel|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;FORD;DIESEL
146503|E-Smart|E-Smart 30 kW|WME4513911K385672|B-SB 4463|30|Strom|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;MCC;STROM
147393|E-Smart|E-Smart 30 kW|WME4513911K448700|HH-EM 3020|30|Strom|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;MCC;STROM
147986|Fiesta|1,6 Diesel 70kW NAVI|WF0JXXGAJJBD83981|F-R 8667|70|Diesel|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;FORD;DIESEL
147442|Astra|1.7 Diesel 81kW NAVI|W0L0AHL35B2058916|F-R 8976|81|Diesel|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;OPEL;DIESEL
147390|E-Smart|E-Smart 30 KW|WME4513911K451348|HH-EM 3016|30|Strom|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;MCC;STROM
146502|E-Smart|E-Smart 30 kW |WME4513911K385903|B-SB 4464|30|Strom|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;MCC;STROM
147120|C-Zero|ELEKTRO 35kW Automatik 4-Sitzer|VF71NZKZZBU900201|F-R 8006|35|Strom|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;CITROËN;STROM
147987|Fiesta|1,6 Diesel 70kW NAVI|WF0JXXGAJJBD83982|F-R 8987|70|Diesel|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;FORD;DIESEL
147945|Mondeo|2,0 Diesel 85KW NAVI|WF0GXXGBBGBC48366|F-R 8990|85|Diesel|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;FORD;DIESEL
147447|Astra|1,7 Diesel 81kW NAVI|W0L0AHL35B2059009|F-R 8840|81|Diesel|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;OPEL;DIESEL
147954|Fiesta|1,6 Diesel 70kW|WF0JXXGAJJBD83966|F-R 8081|70|Diesel|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;FORD;DIESEL
148005|Vito|116 Diesel 120kW NAVI 9-Sitzer ! Ausbau der Sitze nicht erwünscht !|WDF63970313649798|F-R 8003|120|Diesel|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;MERCEDES;DIESEL
147993|Mondeo|2,0 Diesel 85kW NAVI|WF0GXXGBBGBC48384|F-R 8604|85|Diesel|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;FORD;DIESEL
146243|iOn|ELEKTRO 35kW NAVI Automatik 4-Sitzer|VF31NZKZZBU802938|F-DB 602|35|Strom|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;PEUGEOT;STROM
